"=""406.507""","=""406.511+""","=""700""","=""8.5e+07""",B+,"=""37358.991""","=""61951.6""","=""5d10.6p""","=""2P*""","=""1/2""","=""5d10.6d""","=""2D""","=""3/2""",,"=""T4253,T7183,T7776""","=""L1336""",
"=""408.410""","=""408.409+""","=""100""","=""""",,"=""46174.979""","=""70653.3""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""5/2""","=""5d9.6s.(3D<2>).7s""","=""4D""","=""3/2""",,"=""""","=""L1336""",
"=""410.170""","=""410.175+""","=""30""","=""""",,"=""47007.433""","=""71380.4""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4P*""","=""3/2""","=""5d10.9d""","=""2D""","=""5/2""",,"=""""","=""L1336""",
"=""412.859""","=""412.858+""","=""30""","=""""",,"=""47007.433""","=""71222.0""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4P*""","=""3/2""","=""5d9.6s.(3D<2>).7s""","=""2D""","=""5/2""",,"=""""","=""L1336""",
"=""420.113""","=""420.115+""","=""30""","=""""",,"=""46174.979""","=""69971.3""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""5/2""","=""5d10.8d""","=""2D""","=""3/2""",,"=""""","=""L1336""",
"=""422.788""","=""422.788+""","=""30w""","=""""",,"=""47007.433""","=""70653.3""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4P*""","=""3/2""","=""5d9.6s.(3D<2>).7s""","=""4D""","=""3/2""",,"=""""","=""L1336""",
"=""424.180""","=""424.189+""","=""100""","=""""",,"=""41174.613""","=""64742.4""","=""5d10.6p""","=""2P*""","=""3/2""","=""5d10.8s""","=""2S""","=""1/2""",,"=""""","=""L1336""",
"=""431.511""","=""431.510+""","=""200""","=""""",,"=""45537.195""","=""68705.1""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""7/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""5/2""",,"=""""","=""L1336""",
"=""443.727""","=""443.726+""","=""120w""","=""""",,"=""46174.979""","=""68705.1""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""5/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""5/2""",,"=""""","=""L1336""",
"=""448.825""","=""448.822+""","=""250""","=""""",,"=""45537.195""","=""67811.5""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""7/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""7/2""",,"=""""","=""L1336""",
"=""460.751""","=""460.750+""","=""900w""","=""""",,"=""47007.433""","=""68705.1""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4P*""","=""3/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""5/2""",,"=""""","=""L1336""",
"=""462.056""","=""462.052+""","=""100w""","=""""",,"=""46174.979""","=""67811.5""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""5/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""7/2""",,"=""""","=""L1336""",
"=""466.392""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1336""",
"=""466.397""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1336""",
"=""469.469""","=""469.475+""","=""10""","=""""",,"=""46174.979""","=""67469.4""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""5/2""","=""5d10.7d""","=""2D""","=""3/2""",,"=""""","=""L1336""",
"=""479.258""","=""479.273+""","=""500""","=""8.9e+07""",B+,"=""41174.613""","=""62033.7""","=""5d10.6p""","=""2P*""","=""3/2""","=""5d10.6d""","=""2D""","=""5/2""",,"=""T4253,T7183,T7776""","=""L1336""",
"=""481.160""","=""481.167+""","=""100""","=""1.57e+07""",B+,"=""41174.613""","=""61951.6""","=""5d10.6p""","=""2P*""","=""3/2""","=""5d10.6d""","=""2D""","=""3/2""",,"=""T7183,T7776""","=""L1336""",
"=""482.296""","=""482.2965+""","=""10""","=""""",,"=""21435.191""","=""42163.530""","=""5d9.6s2""","=""2D""","=""3/2""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4P*""","=""5/2""",,"=""""","=""L1336""",
"=""495.082""","=""495.080+""","=""30w""","=""""",,"=""51028.894""","=""71222.0""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4D*""","=""7/2""","=""5d9.6s.(3D<2>).7s""","=""2D""","=""5/2""",,"=""""","=""L1336""",
"=""506.459""","=""506.4593+""","=""30""","=""5.2e+05""",D,"=""21435.191""","=""41174.613""","=""5d9.6s2""","=""2D""","=""3/2""","=""5d10.6p""","=""2P*""","=""3/2""",,"=""T4060""","=""L1336""",
"=""510.884""","=""510.89+""","=""30w""","=""""",,"=""51653.9""","=""71222.0""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""2D*""","=""5/2""","=""5d9.6s.(3D<2>).7s""","=""2D""","=""5/2""",,"=""""","=""L1336""",
"=""514.744""","=""514.74+""","=""100""","=""""",,"=""51231.530""","=""70653.3""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""2D*""","=""3/2""","=""5d9.6s.(3D<2>).7s""","=""4D""","=""3/2""",,"=""""","=""L1336""",
"=""523.026""","=""523.02+""","=""300""","=""""",,"=""48697.147""","=""67811.5""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4F*""","=""9/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""7/2""",,"=""""","=""L1336""",
"=""526.176""","=""526.19+""","=""100w""","=""""",,"=""51653.9""","=""70653.3""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""2D*""","=""5/2""","=""5d9.6s.(3D<2>).7s""","=""4D""","=""3/2""",,"=""""","=""L1336""",
"=""565.577""","=""565.58+""","=""100""","=""""",,"=""51028.894""","=""68705.1""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4D*""","=""7/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""5/2""",,"=""""","=""L1336""",
"=""572.136""","=""572.13+""","=""100w""","=""""",,"=""51231.530""","=""68705.1""","=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""2D*""","=""3/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""5/2""",,"=""""","=""L1336""",
"=""583.737""","=""583.7374+""","=""300""","=""2.95e+07""",B+,"=""37358.991""","=""54485.235""","=""5d10.6p""","=""2P*""","=""1/2""","=""5d10.7s""","=""2S""","=""1/2""",,"=""T7183,T7776""","=""L1336""",
"=""586.293""","=""586.31+""","=""100w""","=""""",,"=""51653.9""","=""68705.1""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""2D*""","=""5/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""5/2""",,"=""""","=""L1336""",
"=""595.696""","=""595.69+""","=""300w""","=""""",,"=""51028.894""","=""67811.5""","=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4D*""","=""7/2""","=""5d9.6s.(3D<3>).7s""","=""4D""","=""7/2""",,"=""""","=""L1336""",
"=""596.268""","=""""","=""30w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1336""",
"=""627.817""","=""627.8172+""","=""600""","=""3.4e+06""",D,"=""21435.191""","=""37358.991""","=""5d9.6s2""","=""2D""","=""3/2""","=""5d10.6p""","=""2P*""","=""1/2""",,"=""T4060""","=""L1336""",
"=""656.268""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1336""",
"=""665.289""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1336""",
"=""751.073""","=""751.0729+""","=""600""","=""4.24e+07""",B+,"=""41174.613""","=""54485.235""","=""5d10.6p""","=""2P*""","=""3/2""","=""5d10.7s""","=""2S""","=""1/2""",,"=""T7183,T7776""","=""L1336""",
"=""814.506""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1336""",
"=""925.428""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1336""",
